zip,houseprice,ces,county,pctbytransit,crime,testscore
95833,311508,29.88888889,Sacramento County,0.027123387,487.8,2458.4
95842,287322,23.98571429,Sacramento County,0.027123387,487.8,2418.5
95917,231846,27.26,Butte County,0.012428929,406.7,2454.278571
95926,340223,20.23714286,Butte County,0.012428929,406.7,2488.424107
95928,353488,27.91571429,Butte County,0.012428929,406.7,2503.217568
95938,490496,17.67,Butte County,0.012428929,406.7,2523.192857
95942,306485,13.45,Butte County,0.012428929,406.7,2509.96
95948,234051,23.85666667,Butte County,0.012428929,406.7,2506.971429
95953,263799,26.75666667,Sutter County,0.009007816,346.4,2609.9
95965,219685,29.98857143,Butte County,0.012428929,406.7,2477.41875
95966,218702,24.62857143,Butte County,0.012428929,406.7,2455.070833
95969,269472,17.418,Butte County,0.012428929,406.7,2538.7125
95973,385448,14.85444444,Butte County,0.012428929,406.7,2522.81
95991,280988,31.46444444,Sutter County,0.009007816,346.4,2422
